,prodcode,quantity,price_usd,weight_lb,product,date,city
0,4958,263,2.8800922352354976,12.16327648740262,Lemon,2020-01-01,Los Angeles
1,4958,222,1.4861205028253608,21.167024921858683,Lemon,2020-01-01,Los Angeles
2,4958,355,2.2376259417040276,13.458448762260378,Lemon,2020-01-01,Los Angeles
3,4958,101,1.303735652717296,11.642977465502918,Lemon,2020-01-01,Los Angeles
4,4958,185,1.493155199813191,10.649554560193792,Lemon,2020-01-01,Los Angeles
5,4958,113,3.0799430778832178,8.817371207801626,Lemon,2020-01-01,Los Angeles
6,4958,242,2.975041790760588,11.72132152649574,Lemon,2020-01-01,Los Angeles
7,4958,244,2.0266188000212426,10.290618146257476,Lemon,2020-01-01,Los Angeles
8,4958,319,2.918099518469535,16.087621845584366,Lemon,2020-01-01,Los Angeles
9,4012,197,2.753262264491059,10.531265781074763,Orange,2020-01-01,Los Angeles
10,4012,298,2.0435705264797437,3.291957836970687,Orange,2020-01-01,Los Angeles
11,4012,168,1.7005395452259109,7.094064232939854,Orange,2020-01-01,Los Angeles
12,4012,343,2.5222203661222014,18.79448712929152,Orange,2020-01-01,Los Angeles
13,4012,340,1.260005052795168,9.116677022073418,Orange,2020-01-01,Los Angeles
14,4309,433,1.3527018628781662,21.850957101164386,Lychee,2020-01-01,Los Angeles
15,4309,439,2.4206813756143677,20.048995449580254,Lychee,2020-01-01,Los Angeles
16,4309,261,1.9111313537112438,15.990075455466286,Lychee,2020-01-01,Los Angeles
17,4309,428,0.7338269681320526,21.141549250343814,Lychee,2020-01-01,Los Angeles
18,4309,300,1.235145876428578,2.8785632819868625,Lychee,2020-01-01,Los Angeles
19,4309,188,1.124316811922472,13.334262474812569,Lychee,2020-01-01,Los Angeles
20,4309,290,1.8770122549729422,17.907756282994526,Lychee,2020-01-01,Los Angeles
21,4309,405,2.854627909557894,18.101373981963846,Lychee,2020-01-01,Los Angeles
22,4309,452,2.48961003003642,13.881650168262423,Lychee,2020-01-01,Los Angeles
23,4309,249,0.9768948726239615,2.395566513249651,Lychee,2020-01-01,Los Angeles
24,4309,108,2.013749259710312,14.71709165829234,Lychee,2020-01-01,Los Angeles
25,4309,215,2.384805346443318,12.13930594082922,Lychee,2020-01-01,Los Angeles
26,4309,217,2.135964619123843,2.5484051032923163,Lychee,2020-01-01,Los Angeles
27,4650,100,2.423825235408731,7.294773686677218,Mushroom,2020-01-01,Los Angeles
28,4650,129,2.603971731103957,2.6439728014171124,Mushroom,2020-01-01,Los Angeles
29,4650,275,1.4214487354736776,7.316231637913734,Mushroom,2020-01-01,Los Angeles
30,4650,218,0.9365721191396006,13.508581619150938,Mushroom,2020-01-01,Los Angeles
31,4650,352,2.21871648398228,21.08342910022475,Mushroom,2020-01-01,Los Angeles
